InternalsType,SubType,Manufacturer,d50_um,Sharpness,MaxEfficiency,MaxKFactor_m_s,MinKFactor_m_s,PressureDrop_mbar,DesignStandard,Material,MaxTemperature_C,MinThickness_mm,Weight_kg_m2,Reference
WIRE_MESH,Standard Knitted,Generic,8.0,2.5,0.998,0.107,0.02,0.25,API 12J,SS316L,400,100,5.0,Brunazzi and Paglianti (1998)
WIRE_MESH,High Efficiency,Generic,4.0,2.8,0.999,0.08,0.015,0.5,API 12J,SS316L,400,150,8.0,Brunazzi and Paglianti (1998)
WIRE_MESH,CoKnit (multi-layer),Generic,3.0,3.0,0.999,0.12,0.02,0.75,API 12J,SS316L/PTFE,200,150,12.0,Brunazzi and Paglianti (1998)
WIRE_MESH,Low Pressure Drop,Generic,12.0,2.0,0.995,0.15,0.03,0.1,API 12J,SS316,400,100,3.5,Arnold and Stewart (2008)
WIRE_MESH,Fine Wire (0.15mm),Generic,3.5,2.8,0.999,0.075,0.01,0.6,API 12J,SS316L,400,150,9.0,Brunazzi and Paglianti (1998)
WIRE_MESH,Coarse Wire (0.50mm),Generic,15.0,2.0,0.990,0.14,0.03,0.12,API 12J,SS304,400,100,4.0,Brunazzi and Paglianti (1998)
WIRE_MESH,Standard 150 kg/m3,Generic,8.0,2.5,0.998,0.107,0.02,0.25,API 12J,SS316L,400,100,5.0,York (2003)
WIRE_MESH,High Density 240 kg/m3,Generic,4.5,2.7,0.999,0.085,0.015,0.45,API 12J,SS316L,400,150,7.5,York (2003)
WIRE_MESH,Low Density 80 kg/m3,Generic,14.0,2.0,0.993,0.13,0.03,0.08,API 12J,SS316,400,100,3.0,York (2003)
WIRE_MESH,Extra-Fine Microfiber,Generic,2.0,3.2,0.9995,0.065,0.01,0.9,API 12J,SS316L/PTFE,200,200,14.0,El-Dessouky et al. (2000)
WIRE_MESH,Multi-Layer Composite,Generic,2.5,3.0,0.9995,0.10,0.015,0.8,API 12J,SS316L,350,200,13.0,El-Dessouky et al. (2000)
WIRE_MESH,High Temperature Alloy,Generic,9.0,2.4,0.997,0.10,0.02,0.3,API 12J,Inconel 625,800,100,6.0,Arnold and Stewart (2008)
WIRE_MESH,Monel (sour service),Generic,8.5,2.5,0.998,0.105,0.02,0.28,API 12J,Monel 400,400,100,7.0,NACE MR0175/ISO 15156
WIRE_MESH,Hastelloy C276,Generic,8.0,2.5,0.998,0.105,0.02,0.27,API 12J,Hastelloy C276,600,100,6.5,Arnold and Stewart (2008)
WIRE_MESH,PTFE Crinkled,Generic,10.0,2.2,0.995,0.09,0.015,0.15,API 12J,PTFE,200,100,2.5,Arnold and Stewart (2008)
WIRE_MESH,Duplex 2205,Generic,7.5,2.5,0.998,0.107,0.02,0.25,NORSOK M-001,Duplex 2205,350,100,5.5,NORSOK M-001
WIRE_MESH,6Mo (super austenitic),Generic,8.0,2.5,0.998,0.107,0.02,0.26,NORSOK M-001,6Mo (254 SMO),350,100,5.5,NORSOK M-001
WIRE_MESH,Titanium Gr2,Generic,9.0,2.4,0.997,0.10,0.02,0.22,API 12J,Titanium Gr2,400,100,3.0,Arnold and Stewart (2008)
WIRE_MESH,Standard for LP service,Generic,10.0,2.3,0.997,0.12,0.02,0.15,API 12J,SS316L,400,100,4.5,GPSA Engineering Data Book (2004)
WIRE_MESH,Standard for HP service,Generic,6.0,2.6,0.998,0.09,0.015,0.4,API 12J,SS316L,400,150,6.0,GPSA Engineering Data Book (2004)
VANE_PACK,Single Pocket,Generic,15.0,2.0,0.990,0.15,0.02,1.0,NORSOK P-100,SS316L,500,0.8,8.0,Phillips and Listak (1996)
VANE_PACK,Double Pocket,Generic,10.0,2.3,0.995,0.12,0.02,2.5,NORSOK P-100,SS316L,500,0.8,12.0,Phillips and Listak (1996)
VANE_PACK,Multi-Pocket Vertical,Generic,8.0,2.5,0.998,0.10,0.02,4.0,NORSOK P-100,SS316L,500,0.8,16.0,Verlaan (2001)
VANE_PACK,Horizontal Downflow,Generic,12.0,2.0,0.995,0.20,0.03,1.5,NORSOK P-100,SS316L,500,0.8,10.0,Verlaan (2001)
VANE_PACK,Triple Pocket,Generic,6.0,2.7,0.998,0.09,0.02,5.5,NORSOK P-100,SS316L,500,0.8,20.0,Verlaan (2001)
VANE_PACK,Pocket with Drain Channel,Generic,9.0,2.4,0.997,0.13,0.02,3.0,NORSOK P-100,SS316L,500,0.8,14.0,Verlaan (2001)
VANE_PACK,Wide Blade (30mm spacing),Generic,18.0,1.8,0.985,0.18,0.03,0.8,NORSOK P-100,SS316L,500,0.8,7.0,Phillips and Listak (1996)
VANE_PACK,Narrow Blade (15mm spacing),Generic,7.0,2.5,0.997,0.08,0.015,6.0,NORSOK P-100,SS316L,500,0.8,18.0,Phillips and Listak (1996)
VANE_PACK,Horizontal Crossflow,Generic,14.0,1.9,0.992,0.17,0.025,1.2,NORSOK P-100,SS316L,500,0.8,9.0,Phillips and Listak (1996)
