CurveId,InternalsType,VendorName,ProductFamily,TestStandard,TestFluid,TestPressure_bar,TestTemperature_C,DiameterPoints_um,EfficiencyPoints,MaxKFactor_m_s,TestDate,CertificateRef,Notes
VC001,WIRE_MESH,VendorA,WM-StdKnit-150,EN 13544 / ISO 29042,Air-Water,1.0,20,1;2;3;5;8;10;15;20;30;50;80;100,0.05;0.12;0.25;0.50;0.80;0.90;0.96;0.98;0.995;0.998;0.998;0.998,0.107,2022-03-15,FAT-22-0341,Standard knitted pad 150 kg/m3 density
VC002,WIRE_MESH,VendorA,WM-HiEff-240,EN 13544 / ISO 29042,Air-Water,1.0,20,0.5;1;2;3;4;5;8;10;15;20;50;100,0.02;0.08;0.22;0.42;0.62;0.78;0.95;0.98;0.995;0.999;0.999;0.999,0.085,2022-03-15,FAT-22-0342,High efficiency 240 kg/m3 with micro-fibres
VC003,WIRE_MESH,VendorA,WM-LowDP-80,EN 13544 / ISO 29042,Air-Water,1.0,20,2;5;8;10;15;20;30;50;80;100;150;200,0.03;0.10;0.20;0.30;0.55;0.72;0.88;0.95;0.98;0.99;0.993;0.993,0.140,2022-06-10,FAT-22-0587,Low density 80 kg/m3 open-area pad
VC004,WIRE_MESH,VendorA,WM-CoKnit,EN 13544 / ISO 29042,Air-Water,1.0,20,0.5;1;1.5;2;3;5;8;10;15;20;50;100,0.03;0.10;0.28;0.50;0.75;0.92;0.98;0.99;0.998;0.999;0.999;0.999,0.100,2023-01-20,FAT-23-0045,Co-knit multi-fibre composite
VC005,WIRE_MESH,VendorB,WM-Std,EN 13544 / ISO 29042,Air-Water,1.0,20,1;2;4;6;8;10;15;20;30;50;80;100,0.04;0.10;0.30;0.55;0.75;0.88;0.96;0.98;0.995;0.998;0.998;0.998,0.110,2021-09-05,FAT-21-1290,Standard wire mesh 150 kg/m3
VC006,WIRE_MESH,VendorB,WM-Fine,EN 13544 / ISO 29042,Air-Water,1.0,20,0.5;1;1.5;2;3;5;8;10;15;20;50;100,0.03;0.12;0.30;0.52;0.78;0.94;0.99;0.995;0.999;0.999;0.999;0.999,0.075,2021-09-05,FAT-21-1291,Fine wire 0.15 mm diameter pad
VC007,WIRE_MESH,VendorC,WM-HP,EN 13544 / ISO 29042,N2-Exxsol,50.0,25,1;2;3;5;8;10;15;20;30;50;80;100,0.08;0.18;0.35;0.62;0.85;0.92;0.97;0.99;0.995;0.998;0.998;0.998,0.095,2023-05-12,FAT-23-0512,Standard pad tested at 50 bar (high density gas)
VC008,WIRE_MESH,VendorC,WM-HP-Fine,EN 13544 / ISO 29042,N2-Exxsol,50.0,25,0.5;1;2;3;5;8;10;15;20;30;50;100,0.05;0.15;0.35;0.55;0.82;0.96;0.99;0.995;0.999;0.999;0.999;0.999,0.070,2023-05-12,FAT-23-0513,High-efficiency pad tested at 50 bar
VC010,VANE_PACK,VendorA,VP-Single,EN 13544 / ISO 29042,Air-Water,1.0,20,2;5;8;10;15;20;25;30;40;50;80;100,0.02;0.08;0.18;0.28;0.52;0.72;0.82;0.88;0.94;0.97;0.99;0.99,0.160,2022-04-20,FAT-22-0420,Single pocket 20 mm blade spacing
VC011,VANE_PACK,VendorA,VP-Double,EN 13544 / ISO 29042,Air-Water,1.0,20,2;5;8;10;12;15;20;25;30;40;50;100,0.04;0.12;0.30;0.48;0.60;0.75;0.90;0.95;0.97;0.99;0.995;0.995,0.125,2022-04-20,FAT-22-0421,Double pocket with drain channels
