"ID","MaterialGrade","Specification","MaterialType","SMYS_MPa","SMTS_MPa","AllowableStress_MPa","MaxTempC","MinTempC","Density_kg_m3","ThermalConductivity_WpmK","ThermalExpansion_perC","NACECompliant","TypicalService","Description"
1,"SA-179","ASME-II-A","CarbonSteel",255.0,325.0,92.0,427.0,-29.0,7850.0,54.0,1.17E-05,false,"General","Seamless cold-drawn low-C tubes for HX"
2,"SA-214","ASME-II-A","CarbonSteel",220.0,380.0,107.0,427.0,-29.0,7850.0,54.0,1.17E-05,false,"General","ERW carbon steel tubes for HX"
3,"SA-210-A1","ASME-II-A","CarbonSteel",255.0,415.0,118.0,427.0,-29.0,7850.0,54.0,1.17E-05,false,"Boiler","Seamless medium-carbon steel boiler tubes"
4,"SA-213-T11","ASME-II-A","CrMoAlloy",205.0,415.0,118.0,593.0,-29.0,7850.0,37.0,1.22E-05,false,"HighTemp","1.25Cr-0.5Mo alloy tubes for elevated temp"
5,"SA-213-T22","ASME-II-A","CrMoAlloy",205.0,415.0,118.0,593.0,-29.0,7850.0,35.0,1.23E-05,false,"HighTemp","2.25Cr-1Mo alloy tubes for high temp service"
6,"SA-213-TP304","ASME-II-A","AusteniticSS",205.0,515.0,115.0,816.0,-196.0,8000.0,16.2,1.73E-05,true,"Corrosive","304 SS seamless tubes NACE compliant"
7,"SA-213-TP304L","ASME-II-A","AusteniticSS",170.0,485.0,110.0,816.0,-196.0,8000.0,16.2,1.73E-05,true,"SourService","304L SS low-carbon sour service tubes"
8,"SA-213-TP316","ASME-II-A","AusteniticSS",205.0,515.0,115.0,816.0,-196.0,8000.0,16.2,1.60E-05,true,"Corrosive","316 SS seamless tubes NACE compliant"
9,"SA-213-TP316L","ASME-II-A","AusteniticSS",170.0,485.0,110.0,816.0,-196.0,8000.0,16.2,1.60E-05,true,"SourService","316L SS seamless tubes NACE sour service"
10,"SA-213-TP321","ASME-II-A","AusteniticSS",205.0,515.0,115.0,816.0,-196.0,8000.0,16.1,1.60E-05,true,"HighTempCorrosive","321 SS Ti-stabilized for high temp"
11,"SA-789-S31803","ASME-II-A","DuplexSS",450.0,620.0,177.0,315.0,-46.0,7800.0,17.0,1.30E-05,true,"Seawater","2205 Duplex SS for seawater and sour"
12,"SA-789-S32750","ASME-II-A","SuperDuplexSS",550.0,795.0,221.0,315.0,-46.0,7800.0,14.2,1.30E-05,true,"AggressiveSour","2507 Super Duplex for aggressive sour"
13,"SB-111-C70600","ASME-II-B","CuNi",105.0,275.0,47.0,315.0,-29.0,8940.0,40.0,1.72E-05,false,"Seawater","90/10 Cu-Ni for seawater coolers"
14,"SB-111-C71500","ASME-II-B","CuNi",140.0,380.0,60.0,315.0,-29.0,8940.0,29.0,1.62E-05,false,"Seawater","70/30 Cu-Ni for aggressive seawater"
15,"SB-338-Gr2","ASME-II-B","Titanium",275.0,345.0,66.0,315.0,-59.0,4510.0,21.9,8.60E-06,true,"Seawater","Titanium Gr.2 for seawater and chloride"
16,"SB-338-Gr12","ASME-II-B","Titanium",345.0,483.0,97.0,315.0,-59.0,4510.0,21.0,8.60E-06,true,"Corrosive","Titanium Gr.12 enhanced strength"
17,"SB-163-N06625","ASME-II-B","NickelAlloy",414.0,827.0,165.0,593.0,-196.0,8440.0,9.8,1.28E-05,true,"ExtremeSour","Inconel 625 for extreme sour and high temp"
18,"SB-163-N10276","ASME-II-B","NickelAlloy",355.0,790.0,155.0,593.0,-196.0,8890.0,11.1,1.13E-05,true,"ExtremeSour","Hastelloy C-276 for extreme corrosion"
19,"SB-163-N08825","ASME-II-B","NickelAlloy",241.0,586.0,131.0,538.0,-196.0,8140.0,11.0,1.40E-05,true,"SourService","Incoloy 825 for sour gas and acid"
20,"SA-516-70","ASME-II-A","CarbonSteel",260.0,485.0,138.0,343.0,-29.0,7850.0,54.0,1.17E-05,false,"Shell","CS plate for shells and channels"
21,"SA-240-Tp316","ASME-II-A","AusteniticSSPlate",205.0,515.0,115.0,816.0,-196.0,8000.0,16.2,1.60E-05,true,"Shell","316 SS plate for shells in corrosive"
22,"SA-240-S31803","ASME-II-A","DuplexSSPlate",450.0,620.0,177.0,315.0,-46.0,7800.0,17.0,1.30E-05,true,"Shell","Duplex SS plate for shells in sour/seawater"
