family,representative_apis,chapter,artifact,example_calculation,coverage_depth,coverage_status,coverage_score,primary_chapter
Thermodynamic EOS and reference equations,SystemSrkEos; SystemPrEos; SystemGERG2008Eos; SystemLeachmanEos,ch04_hydrogen_reference_equations,scripts/eos_reference_comparison.py; notebooks/eos_reference_comparison.ipynb,Pure-H2 density/Z deviation versus Leachman and methane-H2 density deviation versus GERG-2008-H2.,live NeqSim calculation,covered,1.0,ch04_hydrogen_reference_equations
"Flash, phase envelope, water and impurity checks",ThermodynamicOperations; initProperties; CPA/SRK/GERG systems,ch04_hydrogen_reference_equations; ch08_phase_behavior_with_co2_water_impurities,parameter_study.ipynb; expected_output.ipynb,Pressure/phase-property sweeps with explicit property-initialization and impurity attention indices.,chapter parameter study,covered,0.85,ch04_hydrogen_reference_equations
"Feedstock, water, steam, syngas and gas-quality fluids",SystemSrkEos; SystemPrEos; Standard_ISO6976; Stream,ch05_feedstocks_and_fluids; ch15_pipeline_transport_linepack,parameter_study.ipynb; companion workflow notebook,"Feed composition closure, water-quality duty, syngas basis, and ISO 6976 gas-quality checks.",chapter and companion notebook,covered,0.9,ch05_feedstocks_and_fluids
"Reaction equilibrium, conversion and catalyst screening",GibbsReactor; StoichiometricReaction; CatalystDeactivationKinetics; CatalystBed,ch06_reaction_equilibrium_and_kinetics,parameter_study.ipynb; companion workflow notebook,SMR/ATR/WGS/ammonia-cracking and methane-pyrolysis route-screening examples.,live NeqSim and screening calculations,covered,0.95,ch06_reaction_equilibrium_and_kinetics
"SMR, ATR, POX and blue-H2 route builders",SMRHydrogenPlantBuilder; ATRHydrogenPlantBuilder; POXHydrogenPlantBuilder; BlueHydrogenPlantBuilder,ch09_reforming_flowsheets; ch12_blue_hydrogen_and_ccs; ch24_capstone_blue_hydrogen_python_study,parameter_study.ipynb; companion workflow notebook,"Route-builder plant balances with methane feed, steam-to-carbon, oxygen-to-carbon, PSA and capture settings.",live NeqSim route-builder calculation,covered,1.0,ch09_reforming_flowsheets
Water-gas shift and heat recovery,WaterGasShiftReactor; Cooler; HeatExchanger; PinchAnalysis,ch10_water_gas_shift_and_heat_recovery,parameter_study.ipynb,"HT/LT shift conversion, CO slip, utility duty and heat-recovery sensitivity.",chapter parameter study,covered,0.85,ch10_water_gas_shift_and_heat_recovery
Electrolyzer stack and green-H2 plant balance,Electrolyzer; ElectrolyzerTechnology; ElectrolyzerIVCharacteristic; ElectrolyzerCostEstimate,ch07_electrochemistry_and_electrolyzers; ch13_green_hydrogen_plant; ch25_capstone_green_hydrogen_portfolio,parameter_study.ipynb; companion workflow notebook,"PEM/alkaline/SOEC/AEM voltage, current-density, Faradaic efficiency, water and specific-energy studies.",live NeqSim and portfolio calculation,covered,0.95,ch07_electrochemistry_and_electrolyzers
"Purification, component capture, drying and splitting",PressureSwingAdsorptionBed; PSACascade; ComponentCaptureUnit; ComponentSplitter; Splitter,ch11_psa_purification_and_tail_gas; ch12_blue_hydrogen_and_ccs,parameter_study.ipynb; companion workflow notebook,"PSA bed-count recovery/purity sweep, tail-gas accounting, CO2 capture and H2 drying placeholders.",live NeqSim PSA/capture calculation,covered,0.95,ch11_psa_purification_and_tail_gas
"Separation, knock-out and scrubber calculations",Separator; ThreePhaseSeparator; GasScrubber; Tank,ch00_hydrogen_quickstart; ch09_reforming_flowsheets; ch13_green_hydrogen_plant,parameter_study.ipynb; companion workflow notebook,"Water knock-out, shifted-syngas separation, oxygen/product handling and screening inventory.",chapter process script,covered,0.85,ch00_hydrogen_quickstart
"Heat transfer, cooling, heating and heat integration",Heater; Cooler; HeatExchanger; PinchAnalysis,ch10_water_gas_shift_and_heat_recovery; ch14_hydrogen_compression_intercooling,parameter_study.ipynb,"Intercooler duty, reformer/shift cooling, utility attention and pinch-style heat-recovery screening.",chapter parameter study,covered,0.85,ch10_water_gas_shift_and_heat_recovery
"Compression, expansion and cryogenic pressure work",Compressor; CompressorChart; Expander; ParaOrthoH2Correction,ch14_hydrogen_compression_intercooling; ch16_cryogenic_hydrogen_para_ortho,parameter_study.ipynb; companion workflow notebook,"Stage pressure-ratio, discharge-temperature, intercooling, specific-energy and expansion/para-ortho screening.",live NeqSim and screening calculations,covered,0.95,ch14_hydrogen_compression_intercooling
