"ID","COMP1","COMP2","HVTYPE","KIJSRK","KIJTSRK","KIJTType","KIJPR","KIJTPR","KIJPCSAFT","HVALPHA","HVGIJ","HVGJI","CalcWij","W1","W2","W3","WSTYPE","KIJWS","NRTLALPHA","NRTLGIJ","NRTLGJI","GIJVISC","HVGIJT","HVGJIT","WSGIJT","WSGJIT","cpakij_SRK","cpakijT_SRK","cpakijx_SRK","cpakjix_SRK","cpakij_PR","KIJWSunifac","aijDesMath","bijDesMath","cpaAssosiationType","cpaBetaCross","cpaEpsCross"
6933,"water                                             ","methane                                           ","HV                                                ",0.45,0.00,0,0.65,-1.38,0.00,0.15,-123.60,4875.09,0,0.00,0.00,0.00,"WS                                                ",0.50,0.00,26.60,-142.20,0.00,2.13,-6.54,0.00,0.00,-0.82,2.6055e-03,-0.82,-0.82,0.16,0.00,0.00,0.00,0,0.00,0.00
6935,"ethanol                                           ","methane                                           ","HV                                                ",0.13,0.00,0,0.13,0.00,0.00,0.39,1610.00,255.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.00,521.50,-2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6936,"MEG                                               ","methane                                           ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.36,2063.00,601.70,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,2063.00,601.70,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.07,0.13,0.00,0.00,0.00,0,0.00,0.00
6937,"DEG                                               ","methane                                           ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.36,2063.00,601.70,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,2063.00,601.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6938,"TEG                                               ","methane                                           ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.36,2063.00,601.70,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,-328.60,-2.05,-15.00,0.00,0.00,0.00,0.00,0.13,0.00,0.16,0.13,0.00,0.00,0.00,0.00,0,0.00,0.00
6939,"NaCl                                              ","methane                                           ","HV                                                ",2.02,0.00,0,2.02,0.00,0.00,0.08,7623.00,5281.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.00,7623.00,5281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6940,"KCl","methane                                           ","Classic                                           ",1.64,0.00,0,1.64,0.00,0.00,0.09,6733.00,4007.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,6733.00,4007.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6941,"CaCl2                                             ","methane                                           ","HV                                                ",2.07,0.00,0,2.07,0.00,0.00,0.05,8790.00,14765.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.00,8790.00,14765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6942,"HCOONa                                            ","methane                                           ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6943,"HCOOK                                             ","methane                                           ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6944,"HCOOCs                                            ","methane                                           ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6945,"helium                                            ","methane                                           ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6946,"hydrogen                                          ","methane                                           ","Classic                                           ",0.01,0.00,0,0.01,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0,0.00,0.00
6947,"nitrogen                                          ","methane                                           ","Classic                                           ",0.03,0.00,0,0.03,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,0.00,0.00,0.00,0,0.00,0.00
6948,"argon","methane                                           ","Classic                                           ",0.02,0.00,0,0.02,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,0.00,0.00,0.00,0,0.00,0.00
6949,"oxygen                                            ","methane                                           ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
6950,"CO2                                               ","methane                                           ","Classic                                           ",0.09,0.00,0,0.09,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,0.00,0.00,0.00,1,0.08,0.00
6951,"H2S                                               ","methane                                           ","Classic                                           ",0.08,0.00,0,0.08,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0,0.00,0.00
6952,"ethane                                            ","methane                                           ","Classic                                           ",2.95295e-03,0.00,0,2.95295e-03,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.95295e-03,0.00,2.95295e-03,2.95295e-03,2.95295e-03,0.00,0.00,0.00,0,0.00,0.00
6953,"propane                                           ","methane                                           ","Classic                                           ",7.47722e-03,0.00,0,7.47722e-03,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.47722e-03,0.00,7.47722e-03,7.47722e-03,7.47722e-03,0.00,0.00,0.00,0,0.00,0.00
