ID,COMP1,COMP2,HVTYPE,KIJSRK,KIJTSRK,KIJTType,KIJPR,KIJTPR,KIJPCSAFT,HVALPHA,HVGIJ,HVGJI,CalcWij,W1,W2,W3,WSTYPE,KIJWS,NRTLALPHA,NRTLGIJ,NRTLGJI,GIJVISC,HVGIJT,HVGJIT,WSGIJT,WSGJIT,cpakij_SRK,cpakijT_SRK,cpakijx_SRK,cpakjix_SRK,cpakij_PR,KIJWSunifac,aijDesMath,bijDesMath,cpaAssosiationType,cpaBetaCross,cpaEpsCross,KIJWhitsonSoriede
6933,water,methane,HV,0.45,0,0,0.651,-1.385,0,0.15,-123.6011438,4875.094236,0,0,0,0,WS,0.5,0,26.6,-142.2,0,2.137853939,-6.549655038,0,0,-0.827413423,0.0026055,-0.827413423,-0.827413423,0.161199631,0,0,0,0,0,0,0
6935,ethanol,methane,HV,0.13,0,0,0.13,0,0,0.395,1610,255,0,0,0,0,WS,0.5,0,521.5,-2.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6936,MEG,methane,Classic,0.2,0,0,0.2,0,0,0.3656,2063,601.7,0,0,0,0,Classic,0.5,0,2063,601.7,0,0,0,0,0,0.134,0,0.131438242,0.07021285,0.134,0,0,0,0,0,0,0
6937,DEG,methane,Classic,0.2,0,0,0.2,0,0,0.3656,2063,601.7,0,0,0,0,Classic,0.5,0,2063,601.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6938,TEG,methane,Classic,0.2,0,0,0.2,0,0,0.3656,2063,601.7,0,0,0,0,Classic,0.5,0,-328.6,-2.056,-15,0,0,0,0,0.13,0,0.162,0.13,0,0,0,0,0,0,0,0
6939,NaCl,methane,HV,2.02,0,0,2.02,0,0,0.084,7623,5281,0,0,0,0,WS,0.5,0,7623,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6940,KCl,methane,Classic,1.64,0,0,1.64,0,0,0.097,6733,4007,0,0,0,0,Classic,0.5,0,6733,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6941,CaCl2,methane,HV,2.07,0,0,2.07,0,0,0.055,8790,14765,0,0,0,0,WS,0.5,0,8790,14765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6942,HCOONa,methane,Classic,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6943,HCOOK,methane,Classic,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
