Standard,Section,ParameterName,Value,Unit,EquipmentType,Description
DNV-ST-F101,Sec5,DesignFactor,0.72,,Pipeline,Design factor for location class 1
DNV-ST-F101,Sec5,DesignFactorClass2,0.67,,Pipeline,Design factor for location class 2
DNV-ST-F101,Sec5,SafetyClassFactor_Low,1.04,,Pipeline,Safety class factor - low
DNV-ST-F101,Sec5,SafetyClassFactor_Normal,1.14,,Pipeline,Safety class factor - normal
DNV-ST-F101,Sec5,SafetyClassFactor_High,1.26,,Pipeline,Safety class factor - high
DNV-ST-F101,Sec5,MaterialFactor,1.15,,Pipeline,Material resistance factor
DNV-ST-F101,Sec5,ConditionLoadFactor,1.07,,Pipeline,Condition load factor
DNV-ST-F101,Sec5,MinWallThickness,12.7,mm,Pipeline,Minimum wall thickness
DNV-ST-F101,Sec5,CorrosionAllowance_Internal,3.0,mm,Pipeline,Internal corrosion allowance
DNV-ST-F101,Sec5,FabricationTolerance,12.5,%,Pipeline,Negative fabrication tolerance
DNV-ST-F101,Sec13,CollapseTestFactor,0.667,,Pipeline,Collapse test factor
DNV-ST-F101,Sec13,PropagationBucklingFactor,0.75,,Pipeline,Propagation buckling factor
DNV-ST-F201,Sec4,DynamicAmplificationFactor,1.5,,Riser,Dynamic amplification factor
DNV-ST-F201,Sec4,FatigueDesignFactor_Normal,6.0,,Riser,Fatigue design factor - normal
DNV-ST-F201,Sec4,FatigueDesignFactor_High,10.0,,Riser,Fatigue design factor - high safety
DNV-RP-F109,Sec5,LateralStabilityFactor,1.1,,Pipeline,Lateral stability safety factor
DNV-RP-F109,Sec5,VerticalStabilityFactor,1.1,,Pipeline,Vertical stability safety factor
API-Spec-17D,Sec7,DesignFactor,0.67,,SubseaTree,Design stress factor
API-Spec-17D,Sec8,TestPressureFactor,1.50,,SubseaTree,Factory acceptance test pressure
API-Spec-17D,Sec8,SystemTestPressure,1.25,,SubseaTree,System integration test pressure
API-Spec-17D,Sec7,MinBoreSizeRatio,0.80,,SubseaTree,Min bore to nominal ratio
API-RP-17A,Sec6,DesignLifeYears,25,years,General,Typical design life
API-RP-17A,Sec6,OperatingTemperatureMin,-18,degC,General,Minimum operating temperature
API-RP-17A,Sec6,OperatingTemperatureMax,180,degC,General,Maximum operating temperature
API-RP-17B,Sec5,BurstDesignFactor,0.67,,FlexiblePipe,Burst pressure design factor
API-RP-17B,Sec5,CollapseDesignFactor,0.67,,FlexiblePipe,Collapse pressure design factor
API-RP-17B,Sec5,TensileDesignFactor,0.67,,FlexiblePipe,Tensile load design factor
API-RP-17B,Sec5,TorsionDesignFactor,0.80,,FlexiblePipe,Torsion load design factor
API-RP-17B,Sec6,MinBendRadiusFactor_Unbonded,7.0,,FlexiblePipe,MBR factor for unbonded
API-RP-17B,Sec6,MinBendRadiusFactor_Bonded,10.0,,FlexiblePipe,MBR factor for bonded
API-RP-17B,Sec6,StorageMBRFactor,1.5,,FlexiblePipe,Storage MBR multiplier
API-Spec-17J,Sec7,InternalSheathMin_Standard,6.0,mm,FlexiblePipe,Min sheath thickness standard
