# Generic Equipment Reliability Data from Published Literature
# Sources: Various academic papers, handbooks, and public industry reports
# PUBLIC DOMAIN DATA - Free to use and distribute
# Format: EquipmentType,EquipmentClass,FailureMode,FailureRate,MTBF_hours,MTTR_hours,DataSource,Confidence
# FailureRate is per hour, MTBF and MTTR in hours
#
# Key References:
#   - Lees' Loss Prevention in the Process Industries (4th Ed, 2012)
#   - CCPS Guidelines for Process Equipment Reliability Data (1989)
#   - Military Handbook 217F (MIL-HDBK-217F)
#   - NUREG/CR-6928 (Nuclear power plant data)
#   - DNV-RP-G101 Risk-based Inspection

# ============================================================================
# PROCESS EQUIPMENT (from Lees' Loss Prevention and CCPS)
# ============================================================================

# Pressure Vessels (per vessel)
Vessel,Atmospheric storage tank,Catastrophic,1.14e-8,87720000,720,CCPS-1989,Medium
Vessel,Atmospheric storage tank,Major leak,1.14e-7,8772000,168,CCPS-1989,Medium
Vessel,Pressure vessel,Catastrophic,1.14e-9,876000000,720,CCPS-1989,Medium
Vessel,Pressure vessel,Major leak,1.14e-8,87720000,168,CCPS-1989,Medium
Vessel,Pressure vessel,Minor leak,1.14e-6,876000,24,CCPS-1989,Medium

# Process Piping (per meter)
Piping,Carbon steel (process),Full bore rupture,1.14e-10,8760000000,24,CCPS-1989,Medium
Piping,Carbon steel (process),10% bore leak,1.14e-9,876000000,12,CCPS-1989,Medium
Piping,Carbon steel (process),1% bore leak,1.14e-8,87600000,4,CCPS-1989,Medium
Piping,Stainless steel (process),Full bore rupture,5.71e-11,17520000000,24,LEES-2012,Medium
Piping,Stainless steel (process),Major leak,5.71e-10,1752000000,12,LEES-2012,Medium

# Gaskets and Flanges
Gasket,Spiral wound,All modes,1.83e-7,5467500,2,CCPS-1989,Medium
Gasket,Ring joint,All modes,9.13e-8,10950000,2,CCPS-1989,Medium
Gasket,Sheet (non-metallic),All modes,3.65e-7,2740000,2,CCPS-1989,Medium
Flange,ASME Class 150,Leak,2.28e-7,4386000,4,CCPS-1989,Medium
Flange,ASME Class 300,Leak,1.83e-7,5467500,4,CCPS-1989,Medium
Flange,ASME Class 600+,Leak,1.37e-7,7300000,4,CCPS-1989,Medium

# ============================================================================
# ROTATING EQUIPMENT (from various published sources)
# ============================================================================

# Pumps (from CCPS and industry averages)
Pump,Centrifugal single stage,Seal failure,5.71e-5,17513,8,CCPS-1989,High
Pump,Centrifugal single stage,Bearing failure,2.28e-5,43860,16,CCPS-1989,High
Pump,Centrifugal single stage,Impeller damage,1.14e-5,87720,24,CCPS-1989,Medium
Pump,Multistage centrifugal,All modes,2.28e-4,4386,36,LEES-2012,Medium
Pump,Positive displacement,All modes,3.65e-4,2740,24,LEES-2012,Medium
Pump,Progressive cavity,All modes,4.57e-4,2188,16,Generic,Medium
Pump,Gear,All modes,2.74e-4,3650,12,Generic,Medium
Pump,Diaphragm,All modes,1.83e-4,5468,8,Generic,Medium

# Compressors (from published industry data)
Compressor,Centrifugal single stage,All modes,9.13e-5,10953,48,LEES-2012,High
Compressor,Centrifugal multistage,All modes,1.37e-4,7299,72,LEES-2012,High
Compressor,Axial,All modes,1.14e-4,8772,96,LEES-2012,Medium
Compressor,Reciprocating single cylinder,All modes,1.83e-4,5468,36,Generic,Medium
Compressor,Reciprocating multi-cylinder,All modes,2.74e-4,3650,48,Generic,Medium
Compressor,Diaphragm,All modes,9.13e-5,10953,24,Generic,Medium
Compressor,Scroll,All modes,6.85e-5,14599,16,Generic,Medium

# Turbines and Expanders
Turbine,Steam (large >10MW),All modes,4.57e-5,21882,96,LEES-2012,High
Turbine,Steam (small <10MW),All modes,6.85e-5,14599,72,LEES-2012,Medium
Turbine,Gas (industrial),All modes,9.13e-5,10953,120,LEES-2012,High
Turbine,Gas (aero-derivative),All modes,6.85e-5,14599,96,LEES-2012,Medium
Expander,Turbo-expander,All modes,1.14e-4,8772,72,Generic,Medium
Expander,Reciprocating,All modes,1.83e-4,5468,48,Generic,Medium

# ============================================================================
# HEAT TRANSFER EQUIPMENT (from Lees' and generic sources)
# ============================================================================

Heat Exchanger,Shell and tube (fixed),Tube leak,9.13e-6,109500,72,LEES-2012,High
Heat Exchanger,Shell and tube (fixed),Shell leak,2.28e-6,438600,120,LEES-2012,High
Heat Exchanger,Shell and tube (floating),All modes,1.37e-5,73050,72,LEES-2012,High
Heat Exchanger,U-tube,All modes,1.14e-5,87720,72,LEES-2012,High
Heat Exchanger,Double pipe,All modes,5.71e-6,175130,24,Generic,Medium
Heat Exchanger,Plate frame,Gasket leak,2.28e-5,43860,8,Generic,Medium
Heat Exchanger,Plate frame,Plate failure,2.85e-6,350880,48,Generic,Medium
Heat Exchanger,Brazed plate,All modes,9.13e-6,109500,36,Generic,Medium
Heat Exchanger,Air cooled (fin fan),All modes,3.43e-5,29155,24,LEES-2012,High
Heat Exchanger,Air cooled (fin fan),Fan failure,1.14e-5,87720,8,LEES-2012,High
Heat Exchanger,Air cooled (fin fan),Tube bundle,5.71e-6,175130,72,LEES-2012,Medium
Condenser,Shell and tube,All modes,9.13e-6,109500,72,Generic,Medium
Condenser,Air cooled,All modes,1.37e-5,73050,36,Generic,Medium
Reboiler,Thermosiphon,All modes,1.14e-5,87720,48,Generic,Medium
Reboiler,Kettle,All modes,9.13e-6,109500,48,Generic,Medium

# ============================================================================
# VALVES (from multiple published sources)
# ============================================================================

# Manual Valves
Valve,Manual gate,Fail to operate,2.28e-6,438600,4,LEES-2012,High
Valve,Manual gate,External leak,4.57e-7,2188200,4,LEES-2012,High
Valve,Manual ball,Fail to operate,1.83e-6,546750,4,LEES-2012,High
